,lake,water_body,date_collect,station_num,sample_num,station_descr,latitude,longitude
130,superior,,1990-12-10,20110013.0,228785,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
131,superior,,1990-12-17,20110013.0,228786,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
132,superior,,1990-12-17,20110013.0,228787,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
133,superior,,1991-01-07,20110013.0,228788,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
134,superior,,1991-01-07,20110013.0,228789,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
135,superior,,1991-02-11,20110013.0,228790,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
136,superior,,1991-02-11,20110013.0,228791,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
137,superior,,1991-02-18,20110013.0,228792,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
138,superior,,1991-02-18,20110013.0,228793,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
139,superior,,1991-02-25,20110013.0,228794,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
140,superior,,1991-03-04,20110013.0,228795,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
141,superior,,1991-03-11,20110013.0,228796,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
142,superior,,1991-03-12,20110013.0,228797,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
143,superior,,1991-03-18,20110013.0,228798,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
144,superior,,1991-03-18,20110013.0,228799,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
145,superior,,1991-03-25,20110013.0,228800,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
146,superior,,1991-03-25,20110013.0,228801,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
147,superior,,1991-04-01,20110013.0,228802,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
148,superior,,1991-04-01,20110013.0,228803,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
149,superior,,1991-04-08,20110013.0,228804,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
150,superior,,1991-04-08,20110013.0,228805,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
151,superior,,1991-04-15,20110013.0,228806,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
152,superior,,1991-04-15,20110013.0,228807,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
153,superior,,1991-04-22,20110013.0,228808,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
154,superior,,1991-04-22,20110013.0,228809,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
155,superior,,1991-04-29,20110013.0,228810,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
156,superior,,1991-04-29,20110013.0,228811,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
157,superior,,1991-05-06,20110013.0,228812,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
158,superior,,1991-05-06,20110013.0,228813,TERRACE BAY WATER TREATMENT PLANT,48.7901106,-87.0963324
