lake,water_body,date_collect,station_num,sample_num,station_descr,latitude,longitude
erie,,1992-05-11,20140004.0,238440,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-05-19,20140004.0,238441,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-05-25,20140004.0,238442,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-06-01,20140004.0,238443,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-06-09,20140004.0,238444,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-06-15,20140004.0,238445,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-06-22,20140004.0,238446,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-06-29,20140004.0,238447,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-07-06,20140004.0,238448,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-07-13,20140004.0,238449,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-07-20,20140004.0,238450,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-07-27,20140004.0,238451,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-08-04,20140004.0,238452,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-08-10,20140004.0,238453,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-08-17,20140004.0,238454,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-08-24,20140004.0,238455,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-08-31,20140004.0,238456,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-09-08,20140004.0,238457,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-09-14,20140004.0,238458,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-09-21,20140004.0,238459,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-09-28,20140004.0,238460,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-10-05,20140004.0,238461,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-10-13,20140004.0,238462,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-10-19,20140004.0,238463,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-10-26,20140004.0,238464,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-11-02,20140004.0,238465,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-11-09,20140004.0,238466,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-11-16,20140004.0,238467,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-11-23,20140004.0,238468,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
